-1, 108003482, -1, -1, 95944812, -1, -1, -1, -1, 108003482, -1, -1, 108003482, 108003482, 108003482, -1, 108003482, -1, -1, -1, 
-1, 95944812, -1, 95944812, 95944812, -1, -1, -1, 95944812, -1, 108003482, -1, 108003482, -1, -1, -1, -1, -1, -1, -1, 
-1, 108003482, 108003482, 95944812, 108003482, 108003482, 108003482, 108003482, 95944812, 95944812, 95944812, -1, 85196867, -1, 108003482, -1, -1, 78118952, 78118952, 78118952, 
108003482, -1, -1, -1, 95944812, 108003482, 108003482, -1, 108003482, -1, 108003482, 85196867, 85196867, 85196867, 108003482, -1, -1, -1, 78118952, -1, 
108003482, -1, -1, 95944812, -1, 108003482, 108003482, 108003482, 108003482, 108003482, 108003482, 108003482, -1, 85196867, -1, 108003482, 108003482, -1, -1, -1, 
-1, 108003482, -1, -1, 95944812, -1, 108003482, 108003482, -1, 108003482, 85196867, 108003482, 108003482, -1, 108003482, 108003482, 108003482, -1, -1, -1, 
-1, -1, 108003482, -1, -1, 108003482, 108003482, 108003482, 108003482, -1, 85196867, 100139132, -1, -1, 108003482, 108003482, -1, 78118952, -1, 78118952, 
78118952, -1, -1, 108003482, 108003482, -1, -1, 108003482, 95944812, -1, -1, -1, -1, 108003482, -1, 78118952, -1, -1, -1, 108003482, 
-1, 108003482, -1, 108003482, -1, 78118952, -1, 100139132, -1, -1, 108003482, 85196867, 108003482, -1, 85196867, -1, -1, -1, 78118952, -1, 
95944812, 108003482, 95944812, 108003482, 108003482, 95944812, 108003482, -1, 108003482, 100139132, 100139132, 85196867, 108003482, -1, 108003482, 78118952, 108003482, 78118952, -1, 85196867, 
95944812, 108003482, -1, -1, 108003482, 108003482, -1, 100139132, 108003482, -1, 108003482, -1, -1, 85196867, 108003482, 78118952, -1, -1, 85196867, 85196867, 
108003482, 108003482, -1, 108003482, 100139132, 100139132, -1, 100139132, 100139132, 108003482, 108003482, -1, -1, 85196867, 108003482, -1, -1, -1, 85196867, -1, 
-1, -1, 108003482, -1, 95944812, -1, 108003482, 100139132, -1, 108003482, -1, -1, 108003482, 108003482, 108003482, -1, 85196867, 85196867, 85196867, -1, 
108003482, 108003482, -1, 108003482, -1, 100139132, -1, 85196867, -1, -1, 85196867, 108003482, 108003482, -1, 108003482, -1, 85196867, 85196867, -1, -1, 
108003482, 108003482, 100139132, -1, 108003482, 100139132, -1, 108003482, -1, 85196867, -1, -1, 108003482, 85196867, -1, 85196867, 85196867, -1, -1, -1, 
-1, -1, 108003482, -1, 100139132, 78118952, 108003482, -1, 108003482, 108003482, -1, 108003482, 108003482, 85196867, -1, -1, 108003482, 108003482, 108003482, -1, 
-1, -1, 108003482, -1, -1, -1, -1, -1, 85196867, 85196867, -1, 108003482, 78118952, -1, 108003482, 108003482, 108003482, 108003482, -1, -1, 
-1, -1, 108003482, -1, 85196867, -1, 85196867, 85196867, -1, 85196867, 108003482, 108003482, 85196867, 108003482, 108003482, 108003482, 108003482, -1, -1, -1, 
100139132, -1, 108003482, -1, -1, -1, -1, -1, 85196867, -1, 108003482, 108003482, 108003482, -1, 108003482, -1, 85196867, -1, -1, 108003482, 
85196867, -1, -1, 108003482, 108003482, 85196867, -1, 85196867, 108003482, 85196867, -1, 108003482, 108003482, 108003482, 108003482, -1, 85196867, -1, -1, -1, 
